GDP pc 2011 prices,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia (Plurinational State of),Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Côte d'Ivoire,Cameroon,D.R. of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Czechoslovakia,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,"China, Hong Kong SAR",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran (Islamic Republic of),Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Republic of Korea,Kuwait,Lao People's DR,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Republic of Moldova,Madagascar,Mexico,TFYR of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Puerto Rico,D.P.R. of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan (Former),Senegal,Singapore,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Former USSR,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Province of China",U.R. of Tanzania: Mainland,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Former Yugoslavia,South Africa,Zambia,Zimbabwe
2010,"  1,628 ","  7,521 ","  9,223 ","  60,112 ","  18,980 ","  8,331 ","  45,400 ","  40,288 ","  16,154 ",  718 ,"  37,739 ","  1,855 ","  1,326 ","  2,599 ","  14,686 ","  34,058 ","  8,982 ","  17,172 ","  5,142 ","  14,216 ","  11,954 ","  12,545 ",  910 ,"  41,209 ","  57,219 ","  18,910 ","  9,658 ","  2,555 ","  2,420 ",  637 ,"  5,738 ","  11,192 ","  1,433 ","  6,034 ","  12,032 ","  24,573 ","  6,578 ","  27,630 ","  25,922 ","  41,110 ","  2,544 ","  8,768 ","  42,932 ","  11,276 ","  12,588 ","  9,327 ","  10,719 ","  31,786 ","  20,713 ","  1,106 ","  37,615 ","  36,087 ","  14,927 ","  34,754 ","  8,443 ","  2,946 ","  1,292 ","  1,773 ","  1,329 ","  42,038 ","  26,517 ","  6,526 ","  43,171 ","  4,306 ","  19,511 ","  1,557 ","  20,036 ","  8,386 ","  4,526 ","  48,624 ","  17,751 ","  10,274 ","  36,273 ","  28,576 ","  34,766 ","  7,026 ","  11,601 ","  35,011 ","  19,965 ","  2,580 ","  3,978 ","  2,427 ","  31,538 ","  68,865 ","  4,114 ","  15,622 ",  854 ,"  29,157 ","  10,059 ","  8,320 ","  2,314 ","  18,664 ","  54,086 ","  17,140 ","  6,932 ","  4,615 ","  1,350 ","  14,697 ","  11,038 ","  1,505 ","  23,633 ","  3,773 ","  14,510 ","  7,830 ",  957 ,"  2,983 ","  16,269 ","  1,092 ","  18,574 ","  7,906 ",  810 ,"  4,905 ","  3,917 ","  43,812 ","  78,476 ","  2,152 ","  31,586 ","  46,182 ","  4,354 ","  15,169 ","  9,508 ","  5,694 ","  20,609 ","  33,195 ","  1,751 ","  25,463 ","  7,139 ","  4,549 ","  134,803 ","  16,377 ","  21,737 ","  1,416 ","  42,738 ","  3,707 ","  2,151 ","  58,613 ","  1,421 ","  7,351 ","  11,964 ","  3,093 ","  16,345 ","  21,941 ","  26,001 ","  42,635 ","  7,193 ","  20,147 ","  6,521 ","  1,720 ","  1,191 ","  13,344 ","  2,976 ","  14,397 ","  30,236 ","  10,722 ","  16,528 ","  37,385 ","  2,069 ","  1,831 ","  9,601 ","  16,416 ","  49,267 ","  7,003 ","  17,106 ","  4,572 ","  4,812 ","  14,251 ","  11,319 ","  3,032 ","  1,402 "
2011,"  1,792 ","  8,016 ","  9,484 ","  65,307 ","  20,003 ","  8,465 ","  46,132 ","  41,446 ","  16,176 ",  719 ,"  38,130 ","  1,836 ","  1,344 ","  2,772 ","  15,112 ","  36,372 ","  8,961 ","  17,918 ","  5,331 ","  14,831 ","  11,870 ","  13,376 ",  909 ,"  42,197 ","  58,686 ","  19,705 ","  10,221 ","  2,444 ","  2,494 ",  681 ,"  5,875 ","  11,788 ","  1,479 ","  6,295 ","  12,366 ","  25,289 ","  6,928 ","  27,272 ","  26,725 ","  43,189 ","  2,590 ","  8,944 ","  43,575 ","  11,679 ","  13,204 ","  9,985 ","  10,737 ","  31,600 ","  21,997 ","  1,199 ","  38,432 ","  36,691 ","  16,403 ","  34,971 ","  8,946 ","  3,283 ","  1,347 ","  1,669 ","  1,413 ","  43,841 ","  24,349 ","  6,650 ","  44,532 ","  4,421 ","  19,813 ","  1,648 ","  20,886 ","  8,849 ","  4,768 ","  48,980 ","  18,024 ","  11,484 ","  36,740 ","  29,370 ","  35,151 ","  7,141 ","  11,615 ","  34,979 ","  21,302 ","  2,712 ","  4,142 ","  2,496 ","  32,225 ","  77,126 ","  4,401 ","  16,230 ",  820 ,"  12,893 ","  10,255 ","  8,918 ","  2,346 ","  20,243 ","  54,031 ","  18,428 ","  7,226 ","  4,892 ","  1,347 ","  15,210 ","  11,321 ","  1,500 ","  23,871 ","  3,884 ","  15,747 ","  9,484 ",  925 ,"  3,104 ","  16,483 ","  1,102 ","  19,390 ","  8,203 ",  799 ,"  5,136 ","  4,189 ","  44,591 ","  80,623 ","  2,189 ","  32,057 ","  44,454 ","  4,464 ","  16,762 ","  10,044 ","  5,851 ","  21,837 ","  33,981 ","  1,757 ","  25,133 ","  7,377 ","  4,863 ","  155,533 ","  17,174 ","  23,130 ","  1,449 ","  48,470 ","  3,669 ","  2,123 ","  61,672 ","  1,479 ","  7,607 ","  12,463 ","  3,179 ","  17,391 ","  22,483 ","  26,004 ","  42,079 ","  7,389 ","  21,545 ","  5,979 ","  1,661 ","  1,227 ","  13,318 ","  3,111 ","  16,518 ","  29,745 ","  10,437 ","  17,919 ","  38,565 ","  2,227 ","  1,890 ","  10,333 ","  17,211 ","  49,675 ","  7,396 ","  17,746 ","  4,786 ","  4,088 ","  14,540 ","  11,838 ","  3,205 ","  1,515 "
2012,"  1,945 ","  8,377 ","  9,634 ","  66,007 ","  19,574 ","  9,076 ","  47,045 ","  41,541 ","  16,365 ",  727 ,"  38,173 ","  1,867 ","  1,388 ","  2,914 ","  15,315 ","  36,711 ","  8,895 ","  18,245 ","  5,504 ","  14,985 ","  11,860 ","  13,134 ",  916 ,"  42,476 ","  58,751 ","  20,691 ","  10,947 ","  2,649 ","  2,537 ",  715 ,"  6,300 ","  12,130 ","  1,509 ","  6,273 ","  12,800 ","  25,211 ","  7,138 ","  25,933 ","  26,483 ","  43,288 ","  2,654 ","  8,823 ","  43,510 ","  11,854 ","  13,393 ","  10,399 ","  10,775 ","  30,645 ","  22,784 ","  1,292 ","  37,715 ","  36,626 ","  16,682 ","  35,244 ","  9,497 ","  3,467 ","  1,397 ","  1,725 ","  1,361 ","  46,255 ","  22,746 ","  6,718 ","  44,795 ","  4,518 ","  19,414 ","  1,674 ","  20,732 ","  9,272 ","  4,982 ","  47,360 ","  17,557 ","  12,522 ","  36,934 ","  29,581 ","  34,010 ","  7,120 ","  11,705 ","  35,537 ","  22,090 ","  2,755 ","  4,104 ","  2,649 ","  32,826 ","  80,657 ","  4,670 ","  16,285 ",  853 ,"  25,303 ","  10,067 ","  9,599 ","  2,456 ","  21,305 ","  53,675 ","  19,970 ","  7,355 ","  4,914 ","  1,351 ","  15,548 ","  11,256 ","  1,449 ","  24,630 ","  4,091 ","  15,421 ","  10,493 ",  965 ,"  3,213 ","  17,021 ","  1,089 ","  20,162 ","  8,482 ",  850 ,"  5,216 ","  4,376 ","  43,968 ","  81,725 ","  2,258 ","  32,715 ","  47,428 ","  4,538 ","  18,051 ","  10,606 ","  6,156 ","  22,170 ","  34,395 ","  1,771 ","  24,211 ","  7,232 ","  5,054 ","  154,340 ","  17,581 ","  24,020 ","  1,529 ","  49,835 ","  2,983 ","  2,141 ","  62,856 ","  1,665 ","  7,726 ","  12,438 ","  3,217 ","  17,985 ","  22,745 ","  25,269 ","  41,523 ","  7,552 ","  22,130 ","  4,444 ","  1,743 ","  1,263 ","  14,202 ","  3,284 ","  17,334 ","  30,944 ","  10,751 ","  18,539 ","  39,291 ","  2,271 ","  1,879 ","  10,382 ","  17,776 ","  50,436 ","  7,847 ","  18,486 ","  4,988 ","  4,064 ","  14,331 ","  11,938 ","  3,345 ","  1,750 "
2013,"  2,025 ","  8,464 ","  9,749 ","  66,825 ","  19,822 ","  9,395 ","  47,261 ","  41,302 ","  17,146 ",  738 ,"  38,170 ","  1,939 ","  1,424 ","  3,057 ","  15,314 ","  37,704 ","  9,113 ","  18,456 ","  5,776 ","  15,305 ","  11,809 ","  14,356 ",  567 ,"  43,009 ","  59,120 ","  21,171 ","  11,731 ","  2,822 ","  2,591 ",  757 ,"  6,140 ","  12,633 ","  1,619 ","  6,234 ","  12,953 ","  25,237 ","  7,379 ","  24,282 ","  26,468 ","  43,359 ","  2,724 ","  9,145 ","  43,744 ","  12,290 ","  13,508 ","  10,761 ","  10,871 ","  30,327 ","  23,204 ","  1,385 ","  37,203 ","  36,647 ","  16,964 ","  35,661 ","  9,857 ","  3,622 ","  1,421 ","  1,767 ","  1,378 ","  43,209 ","  22,335 ","  6,813 ","  45,998 ","  4,561 ","  19,403 ","  1,722 ","  21,164 ","  9,676 ","  5,224 ","  48,181 ","  16,843 ","  12,877 ","  38,245 ","  30,317 ","  33,317 ","  7,148 ","  10,834 ","  36,312 ","  23,110 ","  2,786 ","  4,510 ","  2,814 ","  33,712 ","  80,099 ","  4,961 ","  15,146 ",  900 ,"  20,190 ","  10,037 ","  9,899 ","  2,559 ","  22,286 ","  53,973 ","  20,582 ","  7,600 ","  5,414 ","  1,345 ","  15,615 ","  11,568 ","  1,444 ","  25,611 ","  4,371 ","  16,064 ","  11,545 ","  1,004 ","  3,319 ","  17,556 ","  1,113 ","  20,819 ","  8,789 ",  861 ,"  5,356 ","  4,527 ","  43,783 ","  81,564 ","  2,316 ","  33,109 ","  48,901 ","  4,638 ","  18,979 ","  11,173 ","  6,466 ","  22,378 ","  34,736 ","  1,781 ","  24,120 ","  7,736 ","  5,054 ","  155,657 ","  17,691 ","  24,390 ","  1,552 ","  50,021 ","  2,973 ","  2,127 ","  64,822 ","  1,965 ","  7,845 ","  12,860 ","  3,314 ","  18,324 ","  22,861 ","  24,975 ","  41,662 ","  7,805 ","  23,036 ","  3,488 ","  1,776 ","  1,292 ","  14,504 ","  3,464 ","  17,080 ","  31,977 ","  10,882 ","  19,856 ","  40,141 ","  2,353 ","  1,895 ","  10,405 ","  18,553 ","  51,011 ","  8,341 ","  18,484 ","  5,200 ","  4,140 ","  14,500 ","  12,048 ","  3,409 ","  1,766 "
2014,"  2,022 ","  8,548 ","  9,942 ","  67,791 ","  19,112 ","  9,745 ","  47,754 ","  41,251 ","  17,451 ",  748 ,"  38,599 ","  2,008 ","  1,443 ","  3,217 ","  15,550 ","  38,365 ","  9,229 ","  18,805 ","  5,988 ","  15,252 ","  11,780 ","  14,930 ",  561 ,"  43,801 ","  59,776 ","  21,338 ","  12,515 ","  2,995 ","  2,657 ",  785 ,"  6,428 ","  12,982 ","  1,647 ","  6,262 ","  13,242 ","  25,809 ","  7,628 ","  24,115 ","  27,030 ","  44,133 ","  2,823 ","  9,507 ","  44,216 ","  13,012 ","  13,760 ","  11,016 ","  11,136 ","  30,842 ","  23,983 ","  1,489 ","  36,908 ","  36,819 ","  17,098 ","  36,522 ","  10,308 ","  3,628 ","  1,399 ","  1,743 ","  1,355 ","  41,907 ","  22,592 ","  6,978 ","  46,942 ","  4,620 ","  19,404 ","  1,749 ","  22,119 ","  10,051 ","  5,524 ","  50,732 ","  17,450 ","  12,560 ","  38,463 ","  30,906 ","  33,311 ","  7,198 ","  9,766 ","  36,440 ","  23,820 ","  2,853 ","  4,644 ","  2,983 ","  34,573 ","  79,103 ","  5,251 ","  13,586 ",  884 ,"  15,154 ","  10,035 ","  10,438 ","  2,644 ","  23,273 ","  54,100 ","  21,169 ","  7,715 ","  5,744 ","  1,354 ","  15,884 ","  11,968 ","  1,506 ","  27,008 ","  4,685 ","  16,437 ","  12,283 ","  1,049 ","  3,459 ","  18,192 ","  1,143 ","  21,769 ","  9,135 ",  884 ,"  5,551 ","  4,685 ","  44,246 ","  82,311 ","  2,421 ","  33,591 ","  48,528 ","  4,751 ","  19,855 ","  11,390 ","  6,761 ","  23,248 ","  34,787 ","  1,791 ","  24,442 ","  8,048 ","  4,939 ","  157,713 ","  18,487 ","  24,135 ","  1,601 ","  50,791 ","  3,031 ","  2,192 ","  66,499 ","  2,007 ","  7,935 ","  12,718 ","  3,474 ","  18,281 ","  23,453 ","  25,639 ","  42,347 ","  7,927 ","  24,250 ","  3,384 ","  1,830 ","  1,334 ","  14,572 ","  3,632 ","  17,537 ","  32,878 ","  11,085 ","  20,557 ","  41,931 ","  2,436 ","  1,941 ","  9,817 ","  19,104 ","  51,797 ","  8,832 ","  17,579 ","  5,465 ","  4,019 ","  14,627 ","  12,034 ","  3,461 ","  1,789 "
2015,"  1,928 ","  8,320 ","  10,193 ","  71,320 ","  19,424 ","  10,076 ","  48,146 ","  41,256 ","  17,464 ",  694 ,"  39,160 ","  2,055 ","  1,457 ","  3,402 ","  16,186 ","  38,370 ","  9,639 ","  18,123 ","  6,176 ","  14,584 ","  11,849 ","  13,980 ",  576 ,"  43,762 ","  60,071 ","  21,574 ","  13,325 ","  3,182 ","  2,718 ",  807 ,"  6,079 ","  13,237 ","  1,696 ","  6,266 ","  13,558 ","  27,145 ","  7,889 ","  25,082 ","  28,438 ","  44,405 ","  2,941 ","  9,319 ","  44,941 ","  13,765 ","  14,008 ","  10,879 ","  11,313 ","  32,057 ","  24,474 ","  1,601 ","  36,987 ","  37,078 ","  17,180 ","  37,101 ","  10,630 ","  3,611 ","  1,364 ","  1,786 ","  1,393 ","  37,822 ","  22,696 ","  7,127 ","  47,654 ","  4,706 ","  20,026 ","  1,742 ","  22,993 ","  10,432 ","  5,870 ","  53,197 ","  16,923 ","  12,575 ","  39,757 ","  31,050 ","  33,621 ","  7,268 ","  9,307 ","  37,053 ","  23,783 ","  2,921 ","  4,773 ","  3,150 ","  35,358 ","  78,261 ","  5,559 ","  12,983 ",  865 ,"  14,721 ","  10,185 ","  10,784 ","  2,710 ","  23,969 ","  54,251 ","  22,179 ","  7,960 ","  5,784 ","  1,361 ","  16,235 ","  12,413 ","  1,556 ","  28,906 ","  4,985 ","  17,249 ","  12,398 ","  1,090 ","  3,424 ","  18,828 ","  1,144 ","  22,550 ","  9,334 ",  888 ,"  5,558 ","  4,866 ","  44,913 ","  82,984 ","  2,455 ","  34,248 ","  49,927 ","  4,890 ","  20,723 ","  11,714 ","  7,070 ","  24,285 ","  35,384 ","  1,763 ","  24,984 ","  8,188 ","  5,003 ","  159,800 ","  19,162 ","  23,608 ","  1,708 ","  51,942 ","  3,088 ","  2,262 ","  67,674 ","  1,563 ","  8,109 ","  13,014 ","  3,545 ","  17,920 ","  24,648 ","  26,186 ","  43,782 ","  7,969 ","  25,690 ","  3,464 ","  1,802 ","  1,370 ","  14,961 ","  3,784 ","  17,857 ","  32,481 ","  11,063 ","  21,519 ","  42,438 ","  2,506 ","  2,027 ","  8,959 ","  19,124 ","  52,808 ","  9,381 ","  16,333 ","  5,776 ","  2,821 ","  14,971 ","  12,010 ","  3,454 ","  1,799 "
2016,"  1,931 ","  7,819 ","  10,547 ","  74,293 ","  18,820 ","  10,113 ","  48,675 ","  41,545 ","  16,771 ",  705 ,"  39,457 ","  2,062 ","  1,500 ","  3,599 ","  16,796 ","  38,805 ","  9,966 ","  17,702 ","  6,338 ","  13,991 ","  12,125 ","  14,752 ",  593 ,"  43,702 ","  60,648 ","  21,716 ","  14,139 ","  3,329 ","  2,758 ",  783 ,"  5,315 ","  13,367 ","  1,706 ","  6,461 ","  13,959 ","  27,733 ","  7,928 ","  26,608 ","  29,098 ","  45,030 ","  3,085 ","  9,567 ","  46,019 ","  14,530 ","  14,198 ","  10,604 ","  11,458 ","  33,003 ","  25,196 ","  1,722 ","  37,924 ","  37,344 ","  16,995 ","  37,594 ","  10,945 ","  3,641 ","  1,473 ","  1,770 ","  1,443 ","  33,207 ","  22,680 ","  7,187 ","  48,385 ","  4,803 ","  20,915 ","  1,749 ","  23,569 ","  10,850 ","  6,326 ","  53,687 ","  17,738 ","  14,174 ","  41,683 ","  31,823 ","  34,120 ","  7,381 ","  9,149 ","  37,385 ","  23,732 ","  2,975 ","  4,925 ","  3,312 ","  36,255 ","  79,289 ","  5,860 ","  13,074 ",  844 ,"  14,219 ","  10,487 ","  11,236 ","  2,775 ","  24,887 ","  55,516 ","  22,913 ","  7,912 ","  6,103 ","  1,379 ","  16,705 ","  12,753 ","  1,603 ","  29,207 ","  5,253 ","  17,777 ","  12,314 ","  1,103 ","  3,377 ","  19,525 ","  1,139 ","  23,252 ","  9,153 ",  904 ,"  5,337 ","  5,016 ","  45,654 ","  83,213 ","  2,443 ","  34,880 ","  51,383 ","  5,031 ","  21,445 ","  12,132 ","  7,464 ","  25,021 ","  35,595 ","  1,821 ","  25,569 ","  8,439 ","  5,317 ","  160,051 ","  19,826 ","  23,610 ","  1,775 ","  51,959 ","  3,140 ","  2,336 ","  69,211 ","  1,622 ","  8,289 ","  13,519 ","  3,629 ","  17,987 ","  25,088 ","  27,005 ","  44,131 ","  7,993 ","  28,589 ","  3,381 ","  1,648 ","  1,413 ","  15,412 ","  3,979 ","  17,485 ","  30,158 ","  11,064 ","  21,937 ","  43,262 ","  2,593 ","  1,953 ","  9,222 ","  19,394 ","  53,301 ","  9,845 ","  13,429 ","  6,090 ","  2,495 ","  15,537 ","  11,908 ","  3,477 ","  1,783 "
2017,"  1,910 ","  7,536 ","  10,958 ","  73,973 ","  19,151 ","  10,895 ","  49,002 ","  42,217 ","  16,647 ",  715 ,"  39,941 ","  2,116 ","  1,548 ","  3,809 ","  17,386 ","  39,553 ","  10,306 ","  18,193 ","  6,503 ","  14,063 ","  12,157 ","  15,122 ",  608 ,"  44,494 ","  60,903 ","  21,709 ","  15,030 ","  3,450 ","  2,780 ",  785 ,"  4,977 ","  13,381 ","  1,765 ","  6,677 ","  14,373 ","  28,926 ","  8,075 ","  27,873 ","  30,531 ","  46,065 ","  3,198 ","  8,878 ","  47,022 ","  15,054 ","  14,150 ","  10,715 ","  11,546 ","  33,924 ","  26,662 ","  1,840 ","  39,043 ","  38,037 ","  16,576 ","  38,284 ","  11,479 ","  3,842 ","  1,584 ","  1,806 ","  1,492 ","  30,207 ","  22,973 ","  7,280 ","  49,841 ","  4,949 ","  21,852 ","  1,768 ","  24,641 ","  11,292 ","  6,639 ","  55,466 ","  18,416 ","  13,404 ","  42,419 ","  32,550 ","  34,755 ","  7,433 ","  9,186 ","  38,079 ","  24,397 ","  3,021 ","  5,104 ","  3,489 ","  37,296 ","  74,427 ","  6,168 ","  13,209 ",  848 ,"  18,456 ","  10,796 ","  11,868 ","  2,654 ","  26,318 ","  55,037 ","  23,894 ","  8,223 ","  6,426 ","  1,398 ","  16,900 ","  12,878 ","  1,643 ","  31,495 ","  5,504 ","  18,640 ","  12,728 ","  1,114 ","  3,495 ","  20,260 ","  1,153 ","  24,302 ","  8,883 ",  914 ,"  5,249 ","  5,174 ","  46,706 ","  84,601 ","  2,632 ","  35,574 ","  50,503 ","  5,190 ","  22,331 ","  12,390 ","  7,866 ","  26,310 ","  35,248 ","  1,749 ","  26,530 ","  8,741 ","  5,270 ","  153,819 ","  23,004 ","  24,014 ","  1,799 ","  50,593 ","  3,069 ","  2,436 ","  72,292 ","  1,643 ","  8,454 ","  13,877 ","  3,707 ","  18,369 ","  25,789 ","  28,289 ","  44,658 ","  8,092 ","  30,072 ","  3,422 ","  1,556 ","  1,434 ","  15,995 ","  4,192 ","  18,104 ","  28,618 ","  11,194 ","  23,279 ","  44,618 ","  2,683 ","  1,999 ","  9,478 ","  19,657 ","  54,152 ","  10,183 ","  11,364 ","  6,438 ","  2,315 ","  16,129 ","  11,868 ","  3,490 ","  1,844 "
2018,"  1,889 ","  7,180 ","  11,427 ","  74,206 ","  18,461 ","  11,490 ","  49,614 ","  43,032 ","  16,753 ",  731 ,"  40,472 ","  2,192 ","  1,605 ","  4,057 ","  17,982 ","  39,501 ","  10,719 ","  18,809 ","  6,679 ","  14,198 ","  12,030 ","  15,516 ",  619 ,"  45,088 ","  62,185 ","  22,176 ","  15,977 ","  3,498 ","  2,815 ",  797 ,"  4,638 ","  13,486 ","  1,802 ","  6,849 ","  14,583 ","  29,843 ","  8,263 ","  29,090 ","  31,405 ","  46,377 ","  3,308 ","  9,153 ","  47,717 ","  15,945 ","  14,084 ","  10,717 ","  11,895 ","  34,554 ","  27,596 ","  1,937 ","  39,431 ","  38,555 ","  16,254 ","  38,705 ","  12,036 ","  3,983 ","  1,642 ","  1,886 ","  1,512 ","  27,354 ","  23,404 ","  7,399 ","  50,848 ","  5,052 ","  22,678 ","  1,773 ","  25,996 ","  11,768 ","  7,046 ","  58,083 ","  18,155 ","  13,725 ","  43,321 ","  33,227 ","  35,150 ","  7,569 ","  9,175 ","  38,404 ","  25,143 ","  3,120 ","  5,226 ","  3,692 ","  38,214 ","  75,164 ","  6,455 ","  13,237 ",  842 ,"  19,505 ","  11,061 ","  12,052 ","  2,583 ","  27,631 ","  54,626 ","  25,040 ","  8,386 ","  6,760 ","  1,407 ","  17,055 ","  13,238 ","  1,674 ","  32,293 ","  5,803 ","  19,617 ","  13,420 ","  1,123 ","  3,567 ","  21,041 ","  1,173 ","  25,176 ","  8,805 ",  943 ,"  5,215 ","  4,930 ","  47,529 ","  84,740 ","  2,801 ","  36,420 ","  50,135 ","  5,299 ","  22,844 ","  12,678 ","  8,235 ","  27,881 ","  34,190 ","  1,669 ","  27,330 ","  8,916 ","  5,218 ","  152,454 ","  24,000 ","  24,690 ","  1,908 ","  50,906 ","  2,909 ","  2,515 ","  74,518 ","  1,660 ","  8,645 ","  14,580 ","  3,757 ","  18,907 ","  26,791 ","  29,461 ","  45,003 ","  8,219 ","  31,525 ","  3,419 ","  1,541 ","  1,466 ","  16,610 ","  4,440 ","  18,064 ","  27,863 ","  11,376 ","  23,650 ","  45,818 ","  2,785 ","  2,036 ","  9,827 ","  19,698 ","  55,455 ","  10,682 ","  9,446 ","  6,842 ","  2,282 ","  16,825 ","  11,873 ","  3,522 ","  1,900 "
2019,"  2,032 ","  6,887 ","  11,715 ","  74,396 ","  17,913 ","  12,399 ","  49,815 ","  43,489 ","  17,030 ",  739 ,"  41,156 ","  2,276 ","  1,651 ","  4,243 ","  18,841 ","  39,500 ","  11,048 ","  19,130 ","  6,731 ","  14,258 ","  12,040 ","  15,747 ",  624 ,"  45,284 ","  62,449 ","  21,924 ","  16,880 ","  3,703 ","  2,832 ",  806 ,"  4,583 ","  13,604 ","  1,832 ","  7,297 ","  14,775 ","  30,607 ","  8,258 ","  30,285 ","  32,227 ","  46,762 ","  3,437 ","  9,575 ","  48,239 ","  16,587 ","  14,000 ","  10,587 ","  12,300 ","  34,957 ","  28,506 ","  2,031 ","  39,875 ","  39,085 ","  16,450 ","  39,113 ","  12,632 ","  4,143 ","  1,691 ","  1,952 ","  1,543 ","  25,006 ","  23,870 ","  7,566 ","  49,631 ","  5,100 ","  23,590 ","  1,719 ","  27,272 ","  12,250 ","  7,294 ","  59,734 ","  17,400 ","  14,204 ","  43,137 ","  33,952 ","  35,407 ","  7,641 ","  9,166 ","  38,333 ","  26,026 ","  3,207 ","  5,413 ","  3,897 ","  38,936 ","  73,748 ","  6,706 ","  12,855 ",  807 ,"  16,972 ","  10,978 ","  11,940 ","  2,514 ","  28,986 ","  54,752 ","  25,859 ","  8,541 ","  7,078 ","  1,434 ","  16,802 ","  13,751 ","  1,706 ","  33,220 ","  6,141 ","  20,449 ","  13,871 ","  1,119 ","  3,659 ","  21,625 ","  1,205 ","  25,986 ","  8,568 ",  964 ,"  5,197 ","  4,722 ","  48,143 ","  85,115 ","  2,954 ","  36,912 ","  48,597 ","  5,220 ","  23,218 ","  12,680 ","  8,602 ","  29,142 ","  35,041 ","  1,667 ","  28,056 ","  8,776 ","  5,177 ","  150,732 ","  23,268 ","  25,244 ","  2,043 ","  50,123 ","  2,757 ","  2,560 ","  74,650 ","  1,707 ","  8,850 ","  15,293 ","  3,781 ","  19,369 ","  27,429 ","  30,229 ","  45,434 ","  8,375 ","  32,746 ","  3,385 ","  1,544 ","  1,502 ","  16,905 ","  4,696 ","  17,264 ","  27,583 ","  11,452 ","  23,498 ","  47,200 ","  2,895 ","  2,129 ","  10,140 ","  19,714 ","  56,469 ","  11,219 ","  7,062 ","  7,266 ","  2,265 ","  17,524 ","  11,740 ","  3,466 ","  1,753 "
